iter	Passed	Remaining
768	2261	680
769	2262	676
770	2263	673
771	2265	669
772	2267	666
773	2268	663
774	2271	660
775	2275	657
776	2277	654
777	2280	651
778	2281	648
779	2282	644
780	2285	641
781	2294	640
782	2295	637
783	2296	633
784	2297	630
785	2299	626
786	2301	623
787	2305	621
788	2309	618
789	2310	615
790	2312	611
791	2313	608
792	2315	605
793	2321	603
794	2323	599
795	2324	596
796	2325	593
797	2326	589
798	2327	586
799	2328	582
800	2337	581
801	2339	578
802	2340	574
803	2341	571
804	2343	568
805	2356	567
806	2357	564
807	2360	561
808	2366	559
809	2371	557
810	2374	553
811	2375	550
812	2376	547
813	2381	544
814	2383	541
815	2386	538
816	2387	535
817	2388	532
818	2389	528
819	2391	525
820	2399	523
821	2400	520
822	2402	517
823	2403	514
824	2404	510
825	2414	509
826	2421	507
827	2433	506
828	2435	503
829	2438	500
830	2446	498
831	2451	495
832	2453	492
833	2467	491
834	2480	490
835	2482	487
836	2484	484
837	2485	481
838	2495	479
839	2499	476
840	2500	473
841	2510	471
842	2512	468
843	2517	465
844	2519	462
845	2528	460
846	2531	457
847	2534	454
848	2541	452
849	2544	449
850	2547	446
851	2556	444
852	2572	443
853	2574	440
854	2578	437
855	2581	434
856	2588	432
857	2590	429
858	2592	426
859	2593	422
860	2596	419
861	2602	417
862	2603	413
863	2604	410
864	2606	407
865	2610	404
866	2611	401
867	2618	398
868	2620	395
869	2622	392
870	2624	389
871	2626	385
872	2628	382
873	2630	379
874	2632	376
875	2633	373
876	2635	370
877	2637	366
878	2644	364
879	2645	361
880	2648	358
881	2650	354
882	2652	351
883	2659	349
884	2661	346
885	2662	343
886	2664	339
887	2667	336
888	2675	334
889	2677	331
890	2679	328
891	2680	324
892	2682	321
893	2684	318
894	2692	316
895	2694	313
896	2695	309
897	2697	306
898	2698	303
899	2699	300
900	2704	297
901	2707	294
902	2709	291
903	2710	288
904	2712	285
905	2713	281
906	2719	279
907	2721	276
908	2723	272
909	2725	269
910	2727	266
911	2729	263
912	2730	260
913	2742	258
914	2743	255
915	2746	252
916	2750	249
917	2752	246
918	2753	242
919	2760	240
920	2768	237
921	2770	234
922	2771	231
923	2777	228
924	2810	228
925	2819	225
926	2823	222
927	2868	222
928	2870	219
929	2872	216
930	2873	213
931	2883	210
932	2917	209
933	2920	206
934	2933	204
935	2980	204
936	2982	200
937	2984	197
938	2986	194
939	3006	192
940	3012	189
941	3015	185
942	3018	182
943	3055	181
944	3065	178
945	3068	175
946	3069	171
947	3080	169
948	3081	165
949	3083	162
950	3086	159
951	3093	156
952	3096	152
953	3098	149
954	3099	146
955	3101	142
956	3102	139
957	3112	136
958	3115	133
959	3123	130
960	3124	126
961	3126	123
962	3127	120
963	3128	116
964	3130	113
965	3134	110
966	3137	107
967	3139	103
968	3141	100
969	3143	97
970	3144	94
971	3153	90
972	3155	87
973	3156	84
974	3160	81
975	3162	77
976	3170	74
977	3171	71
978	3173	68
979	3175	64
980	3177	61
981	3188	58
982	3189	55
983	3193	51
984	3199	48
985	3217	45
986	3219	42
987	3220	39
988	3223	35
989	3229	32
990	3236	29
991	3237	26
992	3239	22
993	3240	19
994	3249	16
995	3250	13
996	3254	9
997	3256	6
998	3265	3
999	3267	0
